Region,Country code,Country,Year,Income group,"Enrol. tert. per 100,000 inh",Enrol. tert. all programs,GDP per capita,"GDP per capita, PPP",Government expend. on edu as % of GDP (%),Government expend. on tert. edu as % of GDP (%),Government expend. per tert. studet as % of GDP (%),Internet users,Population growth,Population age for tert. edu.,"Population, total"
East Asia & Pacific,ASM,American Samoa,2010,Upper middle income,,,10352.8227618312,,,,,,-1.05486210207446,,55637.0
East Asia & Pacific,ASM,American Samoa,2011,Upper middle income,,,10375.9942154736,,,,,,-0.571394076048246,,55320.0
East Asia & Pacific,ASM,American Samoa,2012,Upper middle income,,,11660.329531052,,,,,,-0.162822288346136,,55230.0
East Asia & Pacific,ASM,American Samoa,2013,Upper middle income,,,11589.8530023324,,,,,,0.139319888281354,,55307.0
East Asia & Pacific,ASM,American Samoa,2014,Upper middle income,,,11598.7517362051,,,,,,0.234775806748866,,55437.0
East Asia & Pacific,ASM,American Samoa,2015,Upper middle income,,,11865.9632317194,,,,,,0.180222443215116,,55537.0
East Asia & Pacific,AUS,Australia,2010,High income: OECD,5759.58056640625,1276488.0,51874.0804819957,39191.0356251816,5.55523014068604,1.24056994915009,21.4118804931641,76.0,1.55548958906995,1577526.0,22031750.0
East Asia & Pacific,AUS,Australia,2011,High income: OECD,5874.52392578125,1324257.0,62245.100292102,41782.2849420662,5.09834003448486,1.18307995796204,19.9584197998047,79.48769771,1.38952731561803,1586492.0,22340024.0
East Asia & Pacific,AUS,Australia,2012,High income: OECD,5954.2607421875,1364203.0,67677.6347662796,42616.1489215663,4.89990997314453,1.15940999984741,19.3164291381836,79.0,1.72289521851643,1597167.0,22728254.0
East Asia & Pacific,AUS,Australia,2013,High income: OECD,5975.291015625,1390478.0,67792.3038620501,45668.6891142673,5.28584003448486,1.36765003204346,22.7378005981445,83.45349717,1.69747274985435,1606476.0,23117353.0
East Asia & Pacific,AUS,Australia,2014,High income: OECD,6153.1591796875,1453521.0,62214.6091207999,46446.0272419404,5.22533988952637,,22.3212795257568,84.0,1.47428774251096,1609542.0,23460694.0
East Asia & Pacific,AUS,Australia,2015,High income: OECD,,,56554.0387612447,46475.9277518569,,,,84.56051935,1.39110720542302,1602152.0,23789338.0
East Asia & Pacific,BRN,Brunei,2010,High income: nonOECD,1468.59155273438,5776.0,35268.1011703581,78923.3904740313,2.04661011695862,0.498959988355637,31.6256103515625,53.0,1.26614450607904,36896.0,388662.0
East Asia & Pacific,BRN,Brunei,2011,High income: nonOECD,1658.80993652344,6626.0,47017.0273004715,82434.8830910215,3.32209992408752,,,56.0,1.36738323682896,37591.0,394013.0
East Asia & Pacific,BRN,Brunei,2012,High income: nonOECD,2055.6728515625,8336.0,47651.2590896413,83504.3025184817,2.88959002494812,,,60.27306504,1.44504448971225,36961.0,399748.0
East Asia & Pacific,BRN,Brunei,2013,High income: nonOECD,2137.79370117188,8797.0,44597.279681535,81827.2734606771,,,,64.5,1.48190588685306,36223.0,405716.0
East Asia & Pacific,BRN,Brunei,2014,High income: nonOECD,2705.357421875,11292.0,41530.6689792581,80152.1391841569,3.35318994522095,1.20214998722076,50.0700492858887,68.77,1.46512370980213,35593.0,411704.0
East Asia & Pacific,BRN,Brunei,2015,High income: nonOECD,,10866.0,30967.890506377,79593.2807209177,,,,71.2,1.40804934924395,35228.0,417542.0
East Asia & Pacific,CHN,China,2010,Upper middle income,2315.24682617188,31046736.0,4560.51258600929,9333.12423690653,,,,34.3,0.482959688678361,129642728.0,1337705000.0
East Asia & Pacific,CHN,China,2011,Upper middle income,2322.279296875,31308378.0,5633.7957168394,10384.3665989406,,,,38.3,0.47915045424996,125873928.0,1344130000.0
East Asia & Pacific,CHN,China,2012,Upper middle income,2404.18139648438,32585960.0,6337.88332279255,11351.0620576921,,,,42.30011749,0.487231117971201,119869952.0,1350695000.0
East Asia & Pacific,CHN,China,2013,Upper middle income,2502.0869140625,34091288.0,7077.77076539558,12367.9650091944,,,,45.8,0.49370963351136,113027008.0,1357380000.0
East Asia & Pacific,CHN,China,2014,Upper middle income,3061.42138671875,41924200.0,7683.50261309118,13439.9067128941,,,,47.9,0.506311591779847,106432544.0,1364270000.0
East Asia & Pacific,CHN,China,2015,Upper middle income,,43367392.0,8069.21302389511,14478.1475458518,,,,50.3,0.508136747291937,99943816.0,1371220000.0
East Asia & Pacific,FJI,Fiji,2010,Upper middle income,,,3651.96678405546,7203.36569339968,,,,20.0,0.932645433767047,77469.0,859950.0
East Asia & Pacific,FJI,Fiji,2011,Upper middle income,,,4353.12139240993,7488.82938057572,4.17305994033813,0.540700018405914,,28.0,0.826391645700175,77491.0,867086.0
East Asia & Pacific,FJI,Fiji,2012,Upper middle income,,,4546.73850445133,7676.77870839263,,,,33.74235675,0.747986174607605,,873596.0
East Asia & Pacific,FJI,Fiji,2013,Upper middle income,,,4763.06895557778,8113.23615419332,3.88288998603821,0.8748499751091,,35.2,0.697996515515594,,879715.0
East Asia & Pacific,FJI,Fiji,2014,Upper middle income,,,5045.76992637815,8661.28809905609,,,,37.4,0.689997362346706,77713.0,885806.0
East Asia & Pacific,FJI,Fiji,2015,Upper middle income,,,4921.95072272884,9045.06797618479,,,,42.5,0.713519398486428,,892149.0
